samsung,ksp,bond,memory,smartphone
19220,2069.699951,4.81,460.9,297.9
19200,2045.579956,4.81,457.6,297.6
18720,2008.5,4.79,459.25,294.5
18300,1977.189941,4.81,462.82,294
19060,2014.589966,4.82,466.4,295.7
19160,2014.589966,4.81,461.38,294.9
18900,1989.109985,4.81,466.56,297.2
19080,1977.219971,4.81,473.22,298.3
19200,2013.140015,4.78,471.46,298.5
18960,2005.300049,4.76,471.46,298.5
18760,1969.920044,4.69,452.81,289.4
18600,1961.630005,4.7,444.27,284.8
18580,1949.880005,4.66,451.9,286.7
18520,1963.430054,4.64,463.69,292.7
18460,1939.300049,4.67,458.62,292.6
18360,1928.23999,4.68,456.09,291.4
18460,1970.660034,4.7,464.77,296.6
18900,2004.680054,4.71,459.82,296.9
18120,1980.27002,4.7,447.35,291.3
17980,1996.319946,4.68,447.94,293
17800,2001.469971,4.62,434.35,288.2
17320,1981.579956,4.5,423.73,280.9
17240,1955.540039,4.44,427.91,280.9
18000,1971.22998,4.36,427.17,277.2
17200,1923.920044,4.24,421.79,269.1
17720,1957.969971,4.37,412.44,268.5
17800,1959.030029,4.4,417.97,267.6
17820,1981.130005,4.46,419.2,268.2
17800,2003.420044,4.49,426.79,271.5
17500,2013.660034,4.49,422.91,271.8
17460,2012.180054,4.5,426.94,273.7
17600,2036.780029,4.45,437.41,277.5
18200,2054.040039,4.49,436.27,277.6
18320,2056.389893,4.47,436.75,276.8
18320,2072.129883,4.47,441.04,278.6
18520,2091.379883,4.5,441.38,280.7
18640,2106.699951,4.48,437.36,280.5
18800,2121.01001,4.47,432.85,279.2
18900,2115.870117,4.45,429.05,278.2
18900,2130.429932,4.44,438.78,280.6
18460,2126.709961,4.45,445.5,282.2
18180,2122.139893,4.47,443.25,281.4
17960,2127.969971,4.48,439.58,281.1
17880,2122.389893,4.52,435.88,278.7
17640,2089.399902,4.49,426.78,274
18020,2121.919922,4.49,427.89,277.4
18000,2141.060059,4.5,428.41,277.3
17760,2140.5,4.49,431.23,277.4
17340,2137.719971,4.43,423.44,273.3
17500,2122.679932,4.43,425.26,274.1
18320,2169.909912,4.45,443.42,282.2
18560,2198.540039,4.49,443.2,285.5
18080,2197.820068,4.5,443.2,285.5
17780,2216,4.53,443.41,284.4
17940,2206.300049,4.53,450.48,286.7
18480,2206.699951,4.53,450.64,288.5
18000,2208.350098,4.52,447.54,290.4
17860,2192.360107,4.48,449.56,289.8
18640,2228.959961,4.46,445.06,289.7
18760,2200.72998,4.47,439.43,286.5
18300,2180.639893,4.46,439.7,284
17980,2147.449951,4.44,443.66,284.2
17820,2139.169922,4.43,442.36,284.9
17840,2166.629883,4.41,440.89,286.3
17700,2122.649902,4.34,447.13,286.4
18320,2120.080078,4.36,440.95,283.8
18020,2104.179932,4.36,434.69,278.9
17800,2102.409912,4.34,429.48,276.6
17860,2135.780029,4.33,437.59,280.8
17600,2095.51001,4.33,433.87,280.2
17640,2111.5,4.32,432.56,279.4
17460,2055.709961,4.27,423.34,274.3
17300,2061.76001,4.26,420.21,274.1
17120,2035.869995,4.21,424.21,275.2
17580,2091.909912,4.25,428.24,278
17820,2100.23999,4.23,433.09,280.2
17680,2093.790039,4.21,433.09,280.2
18040,2142.469971,4.23,439.6,283.2
18220,2141.340088,4.28,426.28,278.8
17660,2114.199951,4.2,426.42,276.8
17700,2113.469971,4.21,418.52,273.6
17740,2099.709961,4.19,417.64,272.8
17540,2083.350098,4.19,408.94,267.8
17300,2071.419922,4.19,409.62,267.8
17020,2046.670044,4.26,402.8,262.9
17060,2048.73999,4.25,399.08,260.4
17260,2076.830078,4.26,406.75,264.4
17300,2086.530029,4.28,398.44,260.6
16960,2046.630005,4.2,393.87,255.9
16380,2031.930054,4.25,388.21,252
16000,2019.650024,4.23,388.73,250.7
16280,2048.169922,4.25,398.61,256.9
16520,2063.899902,4.23,396.73,258.2
16620,2055.860107,4.23,402.56,258.6
17040,2090.810059,4.26,392.5,256.4
16700,2070.290039,4.24,395.27,258
16640,2062.909912,4.25,400.52,260.4
16660,2094.419922,4.29,400.17,262
16520,2100.689941,4.31,410.35,266.4
17100,2125.73999,4.32,419.11,270
17560,2145.300049,4.32,419.11,270
17980,2161.75,4.3,414.94,271.1
17960,2171.189941,4.3,411.79,270.4
17600,2180.590088,4.29,420.4,272.7
17700,2180.350098,4.33,413.8,269.9
17300,2157.159912,4.31,406.73,264.1
17000,2109.72998,4.21,394.96,258
16860,2129.639893,4.18,393.87,258.7
16620,2130.070068,4.19,387.76,255
16640,2145.199951,4.18,390.07,256.2
16260,2130.47998,4.14,384.63,252.6
16440,2130.209961,4.13,397.41,258
17020,2154.949951,4.15,395.11,260.3
16840,2145.040039,4.17,398.88,263.4
17000,2171.22998,4.19,408.56,267.4
16940,2150.47998,4.18,403.08,263.2
17000,2168.699951,4.24,406.47,267.8
16900,2174.310059,4.23,391.13,262.1
16740,2155.850098,4.2,390.53,259.2
16880,2133.209961,4.19,386.94,257.2
17400,2172.310059,4.23,386.93,256.8
17040,2121.27002,4.21,375.17,251
